Significant	-Log(P-value)	Difference	Proteins	Symbol color	Symbol type	Symbol size	Show label	riBAQ.17	riBAQ.18	riBAQ.35	riBAQ.36	riBAQ.19	riBAQ.20	riBAQ.21	riBAQ.22	riBAQ.23	riBAQ.37	riBAQ.38	riBAQ.39	riBAQ.40	riBAQ.41	riBAQ.24	riBAQ.25	riBAQ.26	riBAQ.42	riBAQ.43
	1.8564311819887434	-1.1680890560150146	ASAH1	Color2 [DarkGray]	1	4		0.6257400512695312	-0.5787935256958008	-1.0425395965576172	-1.740133285522461	0.82977294921875	0.5955204963684082	0.9859104156494141	0.6042962074279785	0.48985958099365234	-0.08012771606445312	-0.6644830703735352	1.0802059173583984	0.8818645477294922	0.11875534057617188	1.5845975875854492	2.661773681640625	2.058670997619629	1.3012356758117676	2.193131446838379
	0.5050620374504359	-0.2997330824534098	ASS1	Color2 [DarkGray]	1	4		-1.2209300994873047	-0.5341501235961914	-0.9053630828857422	-0.7322273254394531	NaN	-0.6523690223693848	0.15316104888916016	-1.103532314300537	0.13983440399169922	-0.2639169692993164	-1.4297771453857422	-0.7489557266235352	-0.47211265563964844	-0.5582427978515625	0.32415103912353516	0.20708751678466797	0.0010251998901367188	0.5208544731140137	-0.4608736038208008
	1.7559751085930482	0.5195224761962889	ATP1A1	Color2 [DarkGray]	1	4		5.285497665405273	4.79951286315918	5.384797096252441	4.794617652893066	4.1968278884887695	4.3036723136901855	4.700447082519531	4.190480709075928	4.552543640136719	4.95208740234375	5.134966850280762	4.693216323852539	4.341787338256836	4.399808883666992	4.272223472595215	3.83437442779541	3.7505178451538086	3.0774598121643066	3.7137393951416016
	1.717899409008143	0.33462822437286377	ATP1A3	Color2 [DarkGray]	1	4		5.624931812286377	5.166396141052246	5.484643936157227	5.311968803405762	4.927286148071289	4.982300758361816	5.383838176727295	4.995969295501709	4.863653182983398	5.156711578369141	5.464491844177246	5.076509475708008	4.876670837402344	4.8961381912231445	4.739204406738281	4.587252616882324	4.462653160095215	3.8005337715148926	4.2592315673828125
	1.209764957381969	0.34914088249206543	ATP1B1	Color2 [DarkGray]	1	4		7.040151596069336	6.669478416442871	7.196031093597412	6.58041524887085	6.3530473709106445	6.526194095611572	6.49371862411499	6.04052209854126	6.5657854080200195	6.773489952087402	7.049976348876953	6.71859884262085	6.244458198547363	6.457991123199463	6.126709938049316	6.0601654052734375	5.591561794281006	4.880547046661377	5.547877311706543
	0.6294204822895766	-0.507389211654663	ATP1B3	Color2 [DarkGray]	1	4		2.855916976928711	1.7266807556152344	1.7284555435180664	0.8771152496337891	2.049816131591797	2.718132495880127	2.6793832778930664	2.614579677581787	2.535037040710449	2.9949769973754883	2.122772216796875	2.7421741485595703	0.8513431549072266	1.736098289489746	3.2344884872436523	3.460878372192383	2.5707921981811523	3.6155266761779785	3.2181549072265625
	2.158489915398613	-0.7924173831939697	ATP5A1	Color2 [DarkGray]	1	4		0.7080907821655273	-0.43195247650146484	-0.033573150634765625	-0.038474082946777344	0.9702444076538086	1.3940691947937012	1.1772546768188477	1.202953815460205	0.6926975250244141	0.9880762100219727	0.6831169128417969	0.7016391754150391	0.5793905258178711	0.044959068298339844	2.053119659423828	2.9400577545166016	2.49538516998291	2.419982433319092	3.60756778717041
	2.2076148593742144	-0.9794915676116944	ATP5B	Color2 [DarkGray]	1	4		1.177138328552246	0.1810312271118164	0.5540561676025391	0.23003292083740234	1.8211231231689453	2.0033907890319824	2.0295963287353516	1.8009486198425293	1.3355236053466797	1.7789630889892578	1.1711311340332031	0.8456935882568359	1.8141183853149414	0.5500736236572266	2.6542863845825195	3.7815685272216797	3.4979639053344727	3.6736559867858887	4.494487762451172
	-0	-0.9401752471923828	ATP5C1	Color2 [DarkGray]	1	4		-1.7408723831176758	NaN	NaN	NaN	-1.0434789657592773	-0.18613767623901367	NaN	-0.7680964469909668	-1.3391265869140625	-0.6666460037231445	NaN	NaN	NaN	NaN	0.19806766510009766	1.3593330383300781	0.4648256301879883	0.7699999809265137	1.9528465270996094
	2.06536329614498	-0.9029399871826171	ATP5F1	Color2 [DarkGray]	1	4		-0.9883413314819336	-1.1351871490478516	-1.5100889205932617	-1.5802249908447266	0.03590106964111328	0.541618824005127	-0.31655120849609375	-0.11092710494995117	-0.6213645935058594	-0.07237529754638672	-0.4733409881591797	-0.6601114273071289	-1.2909784317016602	-1.0370769500732422	0.6746244430541992	1.8042755126953125	1.0912752151489258	0.8591361045837402	1.8011865615844727
	-0	-0.24267588721381295	ATP5H	Color2 [DarkGray]	1	4		0.40448951721191406	NaN	NaN	NaN	0.8293771743774414	1.4784178733825684	NaN	1.2372660636901855	0.6907205581665039	1.0524272918701172	0.09040451049804688	0.34397029876708984	0.5176467895507812	-0.4157419204711914	1.9069414138793945	3.003890037536621	2.6407432556152344	2.480729579925537	3.713047981262207
	-0	NaN	ATP5O	Color2 [DarkGray]	1	4		NaN	NaN	NaN	NaN	NaN	-0.3337693214416504	NaN	-0.13033246994018555	-0.8635263442993164	-0.7985572814941406	NaN	NaN	NaN	NaN	-0.03801918029785156	0.9443368911743164	0.897700309753418	0.38757848739624023	1.5437307357788086
	0.6430136687802386	0.5844129562377929	ATP6V1D	Color2 [DarkGray]	1	4		2.321722984313965	2.0873422622680664	1.5760269165039062	1.1228103637695312	2.1820297241210938	1.015282154083252	1.8361167907714844	1.1285948753356934	2.3997802734375	1.4387331008911133	1.4284124374389648	-0.12688064575195312	0.10907459259033203	0.5144834518432617	2.392515182495117	2.872012138366699	-0.35039615631103516	-0.6911072731018066	2.6568431854248047
	-0	NaN	ATP6V1G1	Color2 [DarkGray]	1	4		NaN	NaN	NaN	NaN	NaN	NaN	0.3920602798461914	-0.06038713455200195	NaN	NaN	NaN	NaN	NaN	NaN	-0.5023269653320312	-0.8423290252685547	-0.8853235244750977	0.5095515251159668	-0.009242057800292969
