ID	Symbol	Name	Species	Date	Remarks
140851	MT1P3	metallothionein 1 pseudogene 3	Hs	11/03/2015	
440446	FLJ42842	hypothetical FLJ42842	Hs	11/03/2015	
84229	CCDC135	coiled-coil domain containing 135	Hs	11/03/2015	
653113	LOC653113	family with sequence similarity 86, member A pseudogene	Hs	11/03/2015	
653110	LOC653110	hypothetical LOC653110	Hs	11/03/2015	
84128	WDR75	WD repeat domain 75	Hs	11/03/2015	
84129	ACAD11	acyl-Coenzyme A dehydrogenase family, member 11	Hs	11/03/2015	
135941	OR2A14	olfactory receptor, family 2, subfamily A, member 14	Hs	11/03/2015	
135948	OR2F2	olfactory receptor, family 2, subfamily F, member 2	Hs	11/03/2015	
391112	OR6Y1	olfactory receptor, family 6, subfamily Y, member 1	Hs	11/03/2015	
5058	PAK1	p21 protein (Cdc42/Rac)-activated kinase 1	Hs	11/03/2015	
5054	SERPINE1	serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1	Hs	11/03/2015	
5055	SERPINB2	serpin peptidase inhibitor, clade B (ovalbumin), member 2	Hs	11/03/2015	
5050	PAFAH1B3	platelet-activating factor acetylhydrolase, isoform Ib, subunit 3 (29kDa)	Hs	11/03/2015	
5051	PAFAH2	platelet-activating factor acetylhydrolase 2, 40kDa	Hs	11/03/2015	
5052	PRDX1	peroxiredoxin 1	Hs	11/03/2015	
5053	PAH	phenylalanine hydroxylase	Hs	11/03/2015	
64902	AGXT2	alanine-glyoxylate aminotransferase 2	Hs	11/03/2015	
284612	SYPL2	synaptophysin-like 2	Hs	11/03/2015	
285796	LOC285796	hypothetical protein LOC285796	Hs	11/03/2015	
26024	PTCD1	pentatricopeptide repeat domain 1	Hs	11/03/2015	
400506	C16orf88	chromosome 16 open reading frame 88	Hs	11/03/2015	
400500	BCAR4	breast cancer anti-estrogen resistance 4	Hs	11/03/2015	
400509	RUNDC2B	RUN domain containing 2B	Hs	11/03/2015	
122011	CSNK1A1L	casein kinase 1, alpha 1-like	Hs	11/03/2015	
146456	TMED6	transmembrane emp24 protein transport domain containing 6	Hs	11/03/2015	
89941	RHOT2	ras homolog gene family, member T2	Hs	11/03/2015	
89944	GLB1L2	galactosidase, beta 1-like 2	Hs	11/03/2015	
203235	C9orf141	chromosome 9 open reading frame 141	Hs	11/03/2015	
64801	ARV1	ARV1 homolog (S. cerevisiae)	Hs	11/03/2015	
29993	PACSIN1	protein kinase C and casein kinase substrate in neurons 1	Hs	11/03/2015	
203238	C9orf93	chromosome 9 open reading frame 93	Hs	11/03/2015	
390243	FOLR4	folate receptor 4 (delta) homolog (mouse)	Hs	11/03/2015	
728412	LOC728412	similar to testis specific protein, Y-linked 1	Hs	11/03/2015	
83639	TEX101	testis expressed 101	Hs	11/03/2015	
728410	LOC728410	double homeobox, 4-like	Hs	11/03/2015	
388474	RPL7AP66	ribosomal protein L7a pseudogene 66	Hs	11/03/2015	
29995	LMCD1	LIM and cysteine-rich domains 1	Hs	11/03/2015	
729025	SLC15A5	solute carrier family 15, member 5	Hs	11/03/2015	
729020	hCG_2024410	rcRPE	Hs	11/03/2015	
