Ensembl	symbol	KEGG
ENSG00000161638	ITGA5	Dilated cardiomyopathy:KEGG-hsa05414
ENSG00000138448	ITGAV	Dilated cardiomyopathy:KEGG-hsa05414
ENSG00000164171	ITGA2	Dilated cardiomyopathy:KEGG-hsa05414
ENSG00000132470	ITGB4	Dilated cardiomyopathy:KEGG-hsa05414
ENSG00000005884	ITGA3	Dilated cardiomyopathy:KEGG-hsa05414
ENSG00000150093	ITGB1	Dilated cardiomyopathy:KEGG-hsa05414
ENSG00000065135	GNAI3	Gastric acid secretion:KEGG-hsa04971
ENSG00000092820	EZR	Gastric acid secretion:KEGG-hsa04971
ENSG00000154229	PRKCA	Gastric acid secretion:KEGG-hsa04971
ENSG00000114353	GNAI2	Gastric acid secretion:KEGG-hsa04971
ENSG00000087460	GNAS	Gastric acid secretion:KEGG-hsa04971
ENSG00000156052	GNAQ	Gastric acid secretion:KEGG-hsa04971
ENSG00000087086	FTL	Mineral absorption:KEGG-hsa04978
ENSG00000065135	GNAI3	Axon guidance:KEGG-hsa04360
ENSG00000114353	GNAI2	Axon guidance:KEGG-hsa04360
ENSG00000164050	PLXNB1	Axon guidance:KEGG-hsa04360
ENSG00000196576	PLXNB2	Axon guidance:KEGG-hsa04360
ENSG00000150093	ITGB1	Axon guidance:KEGG-hsa04360
ENSG00000069535	MAOB	Tryptophan metabolism:KEGG-hsa00380
ENSG00000108821	COL1A1	Protein digestion and absorption:KEGG-hsa04974
ENSG00000144908	ALDH1L1	One carbon pool by folate:KEGG-hsa00670
ENSG00000091409	ITGA6	Focal adhesion:KEGG-hsa04510
ENSG00000197702	PARVA	Focal adhesion:KEGG-hsa04510
ENSG00000082781	ITGB5	Focal adhesion:KEGG-hsa04510
ENSG00000137076	TLN1	Focal adhesion:KEGG-hsa04510
ENSG00000108821	COL1A1	Focal adhesion:KEGG-hsa04510
ENSG00000154229	PRKCA	Focal adhesion:KEGG-hsa04510
ENSG00000135424	ITGA7	Focal adhesion:KEGG-hsa04510
ENSG00000162909	CAPN2	Focal adhesion:KEGG-hsa04510
ENSG00000127314	RAP1B	Focal adhesion:KEGG-hsa04510
ENSG00000161638	ITGA5	Focal adhesion:KEGG-hsa04510
ENSG00000138448	ITGAV	Focal adhesion:KEGG-hsa04510
ENSG00000164171	ITGA2	Focal adhesion:KEGG-hsa04510
ENSG00000132470	ITGB4	Focal adhesion:KEGG-hsa04510
ENSG00000196924	FLNA	Focal adhesion:KEGG-hsa04510
ENSG00000041982	TNC	Focal adhesion:KEGG-hsa04510
ENSG00000005884	ITGA3	Focal adhesion:KEGG-hsa04510
ENSG00000128591	FLNC	Focal adhesion:KEGG-hsa04510
ENSG00000150093	ITGB1	Focal adhesion:KEGG-hsa04510
ENSG00000065135	GNAI3	Leukocyte transendothelial migration:KEGG-hsa04670
ENSG00000092820	EZR	Leukocyte transendothelial migration:KEGG-hsa04670
ENSG00000154229	PRKCA	Leukocyte transendothelial migration:KEGG-hsa04670
ENSG00000160255	ITGB2	Leukocyte transendothelial migration:KEGG-hsa04670
ENSG00000261371	PECAM1	Leukocyte transendothelial migration:KEGG-hsa04670
ENSG00000114353	GNAI2	Leukocyte transendothelial migration:KEGG-hsa04670
ENSG00000147065	MSN	Leukocyte transendothelial migration:KEGG-hsa04670
ENSG00000127314	RAP1B	Leukocyte transendothelial migration:KEGG-hsa04670
ENSG00000165168	CYBB	Leukocyte transendothelial migration:KEGG-hsa04670
ENSG00000090339	ICAM1	Leukocyte transendothelial migration:KEGG-hsa04670
ENSG00000150093	ITGB1	Leukocyte transendothelial migration:KEGG-hsa04670
ENSG00000104067	TJP1	Epithelial cell signaling in Helicobacter pylori infection:KEGG-hsa05120
ENSG00000137845	ADAM10	Epithelial cell signaling in Helicobacter pylori infection:KEGG-hsa05120
ENSG00000165475	CRYL1	Pentose and glucuronate interconversions:KEGG-hsa00040
ENSG00000109501	WFS1	Protein processing in endoplasmic reticulum:KEGG-hsa04141
ENSG00000116661	FBXO2	Protein processing in endoplasmic reticulum:KEGG-hsa04141
ENSG00000126803	HSPA2	Protein processing in endoplasmic reticulum:KEGG-hsa04141
ENSG00000162909	CAPN2	Protein processing in endoplasmic reticulum:KEGG-hsa04141
ENSG00000138185	ENTPD1	Pyrimidine metabolism:KEGG-hsa00240
ENSG00000154229	PRKCA	MAPK signaling pathway:KEGG-hsa04010
ENSG00000126803	HSPA2	MAPK signaling pathway:KEGG-hsa04010
ENSG00000127314	RAP1B	MAPK signaling pathway:KEGG-hsa04010
ENSG00000172380	GNG12	MAPK signaling pathway:KEGG-hsa04010
ENSG00000196924	FLNA	MAPK signaling pathway:KEGG-hsa04010
ENSG00000128591	FLNC	MAPK signaling pathway:KEGG-hsa04010
ENSG00000170458	CD14	MAPK signaling pathway:KEGG-hsa04010
ENSG00000126458	RRAS	MAPK signaling pathway:KEGG-hsa04010
ENSG00000069535	MAOB	Histidine metabolism:KEGG-hsa00340
ENSG00000091409	ITGA6	ECM-receptor interaction:KEGG-hsa04512
ENSG00000082781	ITGB5	ECM-receptor interaction:KEGG-hsa04512
ENSG00000108821	COL1A1	ECM-receptor interaction:KEGG-hsa04512
ENSG00000135424	ITGA7	ECM-receptor interaction:KEGG-hsa04512
ENSG00000161638	ITGA5	ECM-receptor interaction:KEGG-hsa04512
ENSG00000138448	ITGAV	ECM-receptor interaction:KEGG-hsa04512
ENSG00000164171	ITGA2	ECM-receptor interaction:KEGG-hsa04512
ENSG00000132470	ITGB4	ECM-receptor interaction:KEGG-hsa04512
ENSG00000041982	TNC	ECM-receptor interaction:KEGG-hsa04512
ENSG00000005884	ITGA3	ECM-receptor interaction:KEGG-hsa04512
