Ensembl ID	ChEMBL ID
ENSG00000106799	CHEMBL4439
ENSG00000106804	CHEMBL2364163
ENSG00000106976	CHEMBL4958
ENSG00000107077	CHEMBL6175
ENSG00000107140	CHEMBL5604
ENSG00000107159	CHEMBL3594
ENSG00000107282	CHEMBL2097170
ENSG00000107362	CHEMBL2189132
ENSG00000107404	CHEMBL6027
ENSG00000107447	CHEMBL4810
ENSG00000107593	CHEMBL1628480
ENSG00000107643	CHEMBL2096667
ENSG00000107758	CHEMBL5278
ENSG00000107779	CHEMBL5275
ENSG00000107798	CHEMBL4184
ENSG00000107854	CHEMBL6154
ENSG00000107882	CHEMBL5390
ENSG00000107968	CHEMBL4899
ENSG00000107984	CHEMBL6024
ENSG00000108039	CHEMBL3782
ENSG00000108242	CHEMBL2408
ENSG00000108379	CHEMBL6079
ENSG00000108405	CHEMBL2094
ENSG00000108443	CHEMBL4501
ENSG00000108468	CHEMBL1741193
ENSG00000108479	CHEMBL1293257
ENSG00000108556	CHEMBL2362997
ENSG00000108576	CHEMBL2111346
ENSG00000108602	CHEMBL3578
ENSG00000108684	CHEMBL1628467
ENSG00000108691	CHEMBL1649052
ENSG00000108773	CHEMBL5501
ENSG00000108786	CHEMBL3181
ENSG00000108788	CHEMBL2062357
ENSG00000108821	CHEMBL2364188
ENSG00000108829	CHEMBL2216743
ENSG00000108839	CHEMBL3687
ENSG00000108840	CHEMBL3038483
ENSG00000108846	CHEMBL2073669
ENSG00000108846	CHEMBL5918
ENSG00000108861	CHEMBL2635
ENSG00000108878	CHEMBL2363032
ENSG00000108984	CHEMBL2171
ENSG00000109072	CHEMBL1075314
ENSG00000109099	CHEMBL1293298
ENSG00000109158	CHEMBL2093872
ENSG00000109163	CHEMBL1855
ENSG00000109181	CHEMBL6160
ENSG00000109193	CHEMBL2346
ENSG00000109320	CHEMBL3251
ENSG00000109321	CHEMBL3731
ENSG00000109323	CHEMBL3903
ENSG00000109339	CHEMBL3038502
ENSG00000109390	CHEMBL2363065
ENSG00000109471	CHEMBL5880
ENSG00000109572	CHEMBL2401603
ENSG00000109576	CHEMBL2046259
ENSG00000109610	CHEMBL2069159
ENSG00000109667	CHEMBL2052034
ENSG00000109738	CHEMBL2363052
ENSG00000109819	CHEMBL6116
ENSG00000109861	CHEMBL2252
ENSG00000109971	CHEMBL1275223
ENSG00000109991	CHEMBL2998
ENSG00000110063	CHEMBL1949488
ENSG00000110066	CHEMBL2321645
ENSG00000110090	CHEMBL1293194
ENSG00000110092	CHEMBL3610
ENSG00000110148	CHEMBL298
ENSG00000110195	CHEMBL2121
ENSG00000110330	CHEMBL5462
ENSG00000110422	CHEMBL4577
ENSG00000110436	CHEMBL4973
ENSG00000110492	CHEMBL1949490
ENSG00000110536	CHEMBL2052033
