Ensembl ID	miRBase ID
ENSG00000226380	MI0000105
ENSG00000229719	MI0000234
ENSG00000229719	MI0000732
ENSG00000234883	MI0000681
ENSG00000234912	MI0025513
ENSG00000236172	MI0024354
ENSG00000238367	MI0003939
ENSG00000238399	MI0010487
ENSG00000238517	MI0006407
ENSG00000238705	MI0009986
ENSG00000238728	MI0009982
ENSG00000238728	MI0015977
ENSG00000238742	MI0010629
ENSG00000239057	MI0015903
ENSG00000239118	MI0009982
ENSG00000239118	MI0015977
ENSG00000239127	MI0016053
ENSG00000239183	MI0016051
ENSG00000239594	MI0001518
ENSG00000243485	MI0006363
ENSG00000243485	MI0015978
ENSG00000243485	MI0015979
ENSG00000243485	MI0015980
ENSG00000245526	MI0000467
ENSG00000245532	MI0003625
ENSG00000247516	MI0016804
ENSG00000249859	MI0006337
ENSG00000251725	MI0011284
ENSG00000251856	MI0003823
ENSG00000251862	MI0017320
ENSG00000252153	MI0011285
ENSG00000252219	MI0022560
ENSG00000252454	MI0010633
ENSG00000252466	MI0010634
ENSG00000252583	MI0014251
ENSG00000252695	MI0011282
ENSG00000253008	MI0015873
ENSG00000253030	MI0010635
ENSG00000253230	MI0000443
ENSG00000253522	MI0000477
ENSG00000254324	MI0000809
ENSG00000254934	MI0016800
ENSG00000256092	MI0025908
ENSG00000257264	MI0014213
ENSG00000257264	MI0014216
ENSG00000257264	MI0014221
ENSG00000257264	MI0031510
ENSG00000257366	MI0014214
ENSG00000257366	MI0014215
ENSG00000257366	MI0014217
ENSG00000257381	MI0014213
ENSG00000257381	MI0014216
ENSG00000257381	MI0014221
ENSG00000257381	MI0031510
ENSG00000257563	MI0014214
ENSG00000257563	MI0014215
ENSG00000257563	MI0014217
ENSG00000258354	MI0014214
ENSG00000258354	MI0014215
ENSG00000258354	MI0014217
ENSG00000258498	MI0006382
ENSG00000260778	MI0005762
ENSG00000261043	MI0015843
ENSG00000261435	MI0016905
ENSG00000263351	MI0015901
ENSG00000263354	MI0017879
ENSG00000263361	MI0016808
ENSG00000263363	MI0019309
ENSG00000263372	MI0017871
ENSG00000263381	MI0019141
ENSG00000263389	MI0016991
ENSG00000263390	MI0014134
ENSG00000263390	MI0014135
ENSG00000263397	MI0018175
ENSG00000263399	MI0014201
ENSG00000263403	MI0017304
ENSG00000263407	MI0017288
ENSG00000263409	MI0017386
ENSG00000263414	MI0014231
ENSG00000263421	MI0017319
ENSG00000263436	MI0014186
ENSG00000263436	MI0014187
ENSG00000263439	MI0017392
ENSG00000263445	MI0016795
ENSG00000263453	MI0016899
ENSG00000263456	MI0018168
ENSG00000263458	MI0016801
ENSG00000263462	MI0017389
ENSG00000263463	MI0016902
ENSG00000263468	MI0014147
ENSG00000263468	MI0014148
ENSG00000263476	MI0014184
ENSG00000263506	MI0018172
ENSG00000263510	MI0016859
ENSG00000263511	MI0019306
ENSG00000263512	MI0015841
ENSG00000263514	MI0016069
ENSG00000263515	MI0016907
ENSG00000263526	MI0016761
ENSG00000263527	MI0016893
ENSG00000263533	MI0016811
ENSG00000263540	MI0019138
ENSG00000263548	MI0018166
ENSG00000263552	MI0000296
ENSG00000263554	MI0017435
ENSG00000263559	MI0017267
ENSG00000263561	MI0017337
ENSG00000263565	MI0017376
ENSG00000263568	MI0016422
ENSG00000263572	MI0019284
ENSG00000263572	MI0025523
ENSG00000263573	MI0015878
ENSG00000263575	MI0017295
ENSG00000263581	MI0016833
ENSG00000263583	MI0016889
ENSG00000263584	MI0016841
ENSG00000263593	MI0017452
ENSG00000263597	MI0016592
ENSG00000263600	MI0016420
ENSG00000263602	MI0014227
ENSG00000263615	MI0015836
ENSG00000263628	MI0014183
ENSG00000263628	MI0016839
ENSG00000263629	MI0019143
ENSG00000263631	MI0016749
ENSG00000263634	MI0016425
ENSG00000263641	MI0017421
ENSG00000263642	MI0017450
ENSG00000263643	MI0016881
ENSG00000263649	MI0016809
ENSG00000263652	MI0019286
ENSG00000263670	MI0016803
ENSG00000263675	MI0019136
ENSG00000263676	MI0017259
ENSG00000263681	MI0014245
ENSG00000263693	MI0014191
ENSG00000263697	MI0016012
ENSG00000263700	MI0005561
ENSG00000263705	MI0019294
ENSG00000263712	MI0017266
ENSG00000263719	MI0016890
ENSG00000263721	MI0016787
ENSG00000263721	MI0019111
ENSG00000263730	MI0016593
ENSG00000263734	MI0017270
ENSG00000263735	MI0017290
ENSG00000263735	MI0017293
ENSG00000263741	MI0019132
ENSG00000263742	MI0014195
ENSG00000263744	MI0016065
ENSG00000263746	MI0015886
ENSG00000263750	MI0019152
ENSG00000263752	MI0014153
ENSG00000263762	MI0015894
ENSG00000263763	MI0016087
ENSG00000263783	MI0019150
ENSG00000263785	MI0014224
ENSG00000263790	MI0016825
ENSG00000263793	MI0014127
ENSG00000263795	MI0019116
ENSG00000263800	MI0019285
ENSG00000263811	MI0016076
ENSG00000263813	MI0016080
ENSG00000263816	MI0019283
ENSG00000263828	MI0016782
ENSG00000263831	MI0016750
ENSG00000263834	MI0017262
ENSG00000263838	MI0017331
ENSG00000263849	MI0017382
ENSG00000263857	MI0017366
ENSG00000263858	MI0017410
ENSG00000263861	MI0016435
ENSG00000263866	MI0005561
ENSG00000263872	MI0016895
ENSG00000263881	MI0017425
ENSG00000263881	MI0019110
ENSG00000263885	MI0016427
ENSG00000263890	MI0015834
ENSG00000263892	MI0017297
ENSG00000263894	MI0016433
ENSG00000263897	MI0017300
ENSG00000263898	MI0017440
ENSG00000263908	MI0014128
ENSG00000263908	MI0014129
ENSG00000263909	MI0017866
ENSG00000263918	MI0016071
ENSG00000263918	MI0019112
ENSG00000263918	MI0031513
ENSG00000263918	MI0031514
ENSG00000263926	MI0016810
ENSG00000263932	MI0016791
ENSG00000263945	MI0016595
ENSG00000263948	MI0017430
ENSG00000263963	MI0016807
ENSG00000263964	MI0016873
ENSG00000263964	MI0016874
ENSG00000263964	MI0016875
ENSG00000263967	MI0015899
ENSG00000263972	MI0016905
ENSG00000263973	MI0017401
ENSG00000263978	MI0016862
ENSG00000263979	MI0017303
ENSG00000263981	MI0019313
ENSG00000263987	MI0019305
ENSG00000264004	MI0017352
ENSG00000264005	MI0015846
ENSG00000264008	MI0017267
ENSG00000264010	MI0016768
ENSG00000264013	MI0016594
ENSG00000264014	MI0015860
ENSG00000264021	MI0016423
ENSG00000264032	MI0016853
ENSG00000264037	MI0016824
ENSG00000264049	MI0017374
ENSG00000264052	MI0016055
ENSG00000264056	MI0019287
ENSG00000264060	MI0015845
ENSG00000264063	MI0016088
ENSG00000264063	MI0031515
ENSG00000264066	MI0000460
ENSG00000264066	MI0001729
ENSG00000264066	MI0017360
ENSG00000264066	MI0017369
ENSG00000264069	MI0016600
ENSG00000264073	MI0014247
ENSG00000264073	MI0014248
ENSG00000264075	MI0017428
ENSG00000264084	MI0019292
ENSG00000264085	MI0017870
ENSG00000264089	MI0016082
ENSG00000264090	MI0019299
ENSG00000264099	MI0017451
ENSG00000264101	MI0017322
ENSG00000264102	MI0017321
ENSG00000264105	MI0016089
ENSG00000264105	MI0017447
ENSG00000264109	MI0017346
ENSG00000264110	MI0015831
ENSG00000264115	MI0016408
ENSG00000264119	MI0017442
ENSG00000264136	MI0016835
ENSG00000264139	MI0016068
ENSG00000264141	MI0016438
ENSG00000264147	MI0017404
ENSG00000264157	MI0014144
ENSG00000264158	MI0017301
ENSG00000264160	MI0017403
ENSG00000264163	MI0016411
ENSG00000264171	MI0015835
ENSG00000264173	MI0014209
ENSG00000264175	MI0014233
ENSG00000264180	MI0016809
ENSG00000264190	MI0017873
ENSG00000264200	MI0017326
ENSG00000264201	MI0017334
ENSG00000264208	MI0017426
ENSG00000264210	MI0017350
ENSG00000264211	MI0016854
ENSG00000264219	MI0016785
ENSG00000264226	MI0014199
