Ensembl ID	Vega_gene ID
ENSG00000043039	OTTHUMG00000165776
ENSG00000043093	OTTHUMG00000158314
ENSG00000043143	OTTHUMG00000129122
ENSG00000043355	OTTHUMG00000017279
ENSG00000043462	OTTHUMG00000163121
ENSG00000043514	OTTHUMG00000009245
ENSG00000043591	OTTHUMG00000019079
ENSG00000044012	OTTHUMG00000007024
ENSG00000044090	OTTHUMG00000014718
ENSG00000044115	OTTHUMG00000163502
ENSG00000044446	OTTHUMG00000021222
ENSG00000044459	OTTHUMG00000019599
ENSG00000044524	OTTHUMG00000159040
ENSG00000044574	OTTHUMG00000020672
ENSG00000046604	OTTHUMG00000179649
ENSG00000046647	OTTHUMG00000021160
ENSG00000046651	OTTHUMG00000021159
ENSG00000046653	OTTHUMG00000021162
ENSG00000046774	OTTHUMG00000022574
ENSG00000046889	OTTHUMG00000164402
ENSG00000047056	OTTHUMG00000017540
ENSG00000047188	OTTHUMG00000128837
ENSG00000047230	OTTHUMG00000021193
ENSG00000047249	OTTHUMG00000164231
ENSG00000047315	OTTHUMG00000128771
ENSG00000047346	OTTHUMG00000172688
ENSG00000047365	OTTHUMG00000097811
ENSG00000047410	OTTHUMG00000035580
ENSG00000047457	OTTHUMG00000159563
ENSG00000047578	OTTHUMG00000176780
ENSG00000047579	OTTHUMG00000014295
ENSG00000047597	OTTHUMG00000033171
ENSG00000047617	OTTHUMG00000168264
ENSG00000047621	OTTHUMG00000168258
ENSG00000047634	OTTHUMG00000021206
ENSG00000047644	OTTHUMG00000021123
ENSG00000047648	OTTHUMG00000021134
ENSG00000047662	OTTHUMG00000160287
ENSG00000047849	OTTHUMG00000156828
ENSG00000047932	OTTHUMG00000015457
ENSG00000047936	OTTHUMG00000016188
ENSG00000048028	OTTHUMG00000168205
ENSG00000048052	OTTHUMG00000152487
ENSG00000048140	OTTHUMG00000163230
ENSG00000048162	OTTHUMG00000163186
ENSG00000048342	OTTHUMG00000160255
ENSG00000048392	OTTHUMG00000164776
ENSG00000048405	OTTHUMG00000023456
ENSG00000048462	OTTHUMG00000129826
ENSG00000048471	OTTHUMG00000129827
ENSG00000048540	OTTHUMG00000168837
ENSG00000048544	OTTHUMG00000014694
ENSG00000048545	OTTHUMG00000014696
ENSG00000048649	OTTHUMG00000150433
ENSG00000048707	OTTHUMG00000013155
ENSG00000048740	OTTHUMG00000017668
ENSG00000048828	OTTHUMG00000020252
ENSG00000048991	OTTHUMG00000131740
ENSG00000049089	OTTHUMG00000005761
ENSG00000049130	OTTHUMG00000169888
ENSG00000049167	OTTHUMG00000097741
ENSG00000049192	OTTHUMG00000074079
ENSG00000049239	OTTHUMG00000001768
ENSG00000049245	OTTHUMG00000001225
ENSG00000049246	OTTHUMG00000001216
ENSG00000049247	OTTHUMG00000001218
ENSG00000049249	OTTHUMG00000001223
ENSG00000049283	OTTHUMG00000162155
