GeneID	EntrezGene	Pathway
6210	L	Ribosome:KEGG-hsa03010
54413	L	Cell adhesion molecules (CAMs):KEGG-hsa04514
6218	L	Ribosome:KEGG-hsa03010
6818	L	Sulfur metabolism:KEGG-hsa00920
390181	L	Olfactory transduction:KEGG-hsa04740
6811	L	SNARE interactions in vesicular transport:KEGG-hsa04130
6810	L	SNARE interactions in vesicular transport:KEGG-hsa04130
6810	L	Vasopressin-regulated water reabsorption:KEGG-hsa04962
6817	L	Sulfur metabolism:KEGG-hsa00920
9757	L	Lysine degradation:KEGG-hsa00310
9755	L	RIG-I-like receptor signaling pathway:KEGG-hsa04622
10577	L	Lysosome:KEGG-hsa04142
24146	L	Cell adhesion molecules (CAMs):KEGG-hsa04514
24146	L	Hepatitis C:KEGG-hsa05160
24146	L	Leukocyte transendothelial migration:KEGG-hsa04670
24146	L	Tight junction:KEGG-hsa04530
8913	L	Calcium signaling pathway:KEGG-hsa04020
8913	L	MAPK signaling pathway:KEGG-hsa04010
8913	L	Type II diabetes mellitus:KEGG-hsa04930
24148	L	Spliceosome:KEGG-hsa03040
8844	L	Tuberculosis:KEGG-hsa05152
115019	L	Mineral absorption:KEGG-hsa04978
149461	L	Cell adhesion molecules (CAMs):KEGG-hsa04514
149461	L	Hepatitis C:KEGG-hsa05160
149461	L	Leukocyte transendothelial migration:KEGG-hsa04670
149461	L	Tight junction:KEGG-hsa04530
1763	L	DNA replication:KEGG-hsa03030
1544	L	Caffeine metabolism:KEGG-hsa00232
1544	L	Drug metabolism - cytochrome P450:KEGG-hsa00982
1544	L	Linoleic acid metabolism:KEGG-hsa00591
1544	L	Metabolism of xenobiotics by cytochrome P450:KEGG-hsa00980
1544	L	Retinol metabolism:KEGG-hsa00830
1544	L	Tryptophan metabolism:KEGG-hsa00380
1545	L	Metabolism of xenobiotics by cytochrome P450:KEGG-hsa00980
1545	L	Steroid hormone biosynthesis:KEGG-hsa00140
1545	L	Tryptophan metabolism:KEGG-hsa00380
1543	L	Metabolism of xenobiotics by cytochrome P450:KEGG-hsa00980
1543	L	Retinol metabolism:KEGG-hsa00830
1543	L	Steroid hormone biosynthesis:KEGG-hsa00140
1543	L	Tryptophan metabolism:KEGG-hsa00380
1540	L	Osteoclast differentiation:KEGG-hsa04380
1540	L	RIG-I-like receptor signaling pathway:KEGG-hsa04622
695	L	B cell receptor signaling pathway:KEGG-hsa04662
695	L	Fc epsilon RI signaling pathway:KEGG-hsa04664
695	L	Osteoclast differentiation:KEGG-hsa04380
695	L	Primary immunodeficiency:KEGG-hsa05340
11112	L	Valine, leucine and isoleucine degradation:KEGG-hsa00280
1548	L	Caffeine metabolism:KEGG-hsa00232
1548	L	Drug metabolism - cytochrome P450:KEGG-hsa00982
1548	L	Drug metabolism - other enzymes:KEGG-hsa00983
1548	L	Retinol metabolism:KEGG-hsa00830
1549	L	Caffeine metabolism:KEGG-hsa00232
1549	L	Drug metabolism - cytochrome P450:KEGG-hsa00982
1549	L	Drug metabolism - other enzymes:KEGG-hsa00983
1549	L	Retinol metabolism:KEGG-hsa00830
8714	L	ABC transporters:KEGG-hsa02010
8714	L	Bile secretion:KEGG-hsa04976
79709	L	Lysine degradation:KEGG-hsa00310
8718	L	Cytokine-cytokine receptor interaction:KEGG-hsa04060
5618	L	Cytokine-cytokine receptor interaction:KEGG-hsa04060
5618	L	Jak-STAT signaling pathway:KEGG-hsa04630
5618	L	Neuroactive ligand-receptor interaction:KEGG-hsa04080
5613	L	Amoebiasis:KEGG-hsa05146
5613	L	Apoptosis:KEGG-hsa04210
5613	L	Bile secretion:KEGG-hsa04976
5613	L	Calcium signaling pathway:KEGG-hsa04020
5613	L	Chemokine signaling pathway:KEGG-hsa04062
5613	L	Dilated cardiomyopathy:KEGG-hsa05414
5613	L	Endocrine and other factor-regulated calcium reabsorption:KEGG-hsa04961
5613	L	Gap junction:KEGG-hsa04540
5613	L	Gastric acid secretion:KEGG-hsa04971
5613	L	Glutamatergic synapse:KEGG-hsa04724
5613	L	GnRH signaling pathway:KEGG-hsa04912
5613	L	Hedgehog signaling pathway:KEGG-hsa04340
5613	L	Insulin signaling pathway:KEGG-hsa04910
5613	L	Long-term potentiation:KEGG-hsa04720
5613	L	MAPK signaling pathway:KEGG-hsa04010
5613	L	Melanogenesis:KEGG-hsa04916
5613	L	Olfactory transduction:KEGG-hsa04740
5613	L	Oocyte meiosis:KEGG-hsa04114
5613	L	Prion diseases:KEGG-hsa05020
