GeneID	Ensembl	Pathway
ENSG00000117461	En	Phosphatidylinositol signaling system:KEGG-hsa04070
ENSG00000117461	En	Progesterone-mediated oocyte maturation:KEGG-hsa04914
ENSG00000117461	En	Prostate cancer:KEGG-hsa05215
ENSG00000117461	En	Regulation of actin cytoskeleton:KEGG-hsa04810
ENSG00000117461	En	Renal cell carcinoma:KEGG-hsa05211
ENSG00000117461	En	Small cell lung cancer:KEGG-hsa05222
ENSG00000117461	En	T cell receptor signaling pathway:KEGG-hsa04660
ENSG00000117461	En	Toll-like receptor signaling pathway:KEGG-hsa04620
ENSG00000117461	En	Toxoplasmosis:KEGG-hsa05145
ENSG00000117461	En	Type II diabetes mellitus:KEGG-hsa04930
ENSG00000117461	En	VEGF signaling pathway:KEGG-hsa04370
ENSG00000117461	En	mTOR signaling pathway:KEGG-hsa04150
ENSG00000234100	En	Olfactory transduction:KEGG-hsa04740
ENSG00000234101	En	Olfactory transduction:KEGG-hsa04740
ENSG00000072310	En	Insulin signaling pathway:KEGG-hsa04910
ENSG00000115085	En	Natural killer cell mediated cytotoxicity:KEGG-hsa04650
ENSG00000115085	En	Primary immunodeficiency:KEGG-hsa05340
ENSG00000115085	En	T cell receptor signaling pathway:KEGG-hsa04660
ENSG00000161681	En	Glutamatergic synapse:KEGG-hsa04724
LRG_115	En	Collecting duct acid secretion:KEGG-hsa04966
LRG_115	En	Epithelial cell signaling in Helicobacter pylori infection:KEGG-hsa05120
LRG_115	En	Lysosome:KEGG-hsa04142
LRG_115	En	Oxidative phosphorylation:KEGG-hsa00190
LRG_115	En	Phagosome:KEGG-hsa04145
LRG_115	En	Rheumatoid arthritis:KEGG-hsa05323
LRG_115	En	Tuberculosis:KEGG-hsa05152
LRG_115	En	Vibrio cholerae infection:KEGG-hsa05110
ENSG00000274566	En	ECM-receptor interaction:KEGG-hsa04512
ENSG00000140319	En	Protein export:KEGG-hsa03060
ENSG00000169248	En	Chemokine signaling pathway:KEGG-hsa04062
ENSG00000169248	En	Cytokine-cytokine receptor interaction:KEGG-hsa04060
ENSG00000169248	En	Toll-like receptor signaling pathway:KEGG-hsa04620
ENSG00000169245	En	Chemokine signaling pathway:KEGG-hsa04062
ENSG00000169245	En	Cytokine-cytokine receptor interaction:KEGG-hsa04060
ENSG00000169245	En	Cytosolic DNA-sensing pathway:KEGG-hsa04623
ENSG00000169245	En	RIG-I-like receptor signaling pathway:KEGG-hsa04622
ENSG00000169245	En	Toll-like receptor signaling pathway:KEGG-hsa04620
ENSG00000169242	En	Axon guidance:KEGG-hsa04360
ENSG00000117399	En	Cell cycle:KEGG-hsa04110
ENSG00000117399	En	Oocyte meiosis:KEGG-hsa04114
ENSG00000117399	En	Ubiquitin mediated proteolysis:KEGG-hsa04120
ENSG00000183864	En	RNA degradation:KEGG-hsa03018
ENSG00000089041	En	Calcium signaling pathway:KEGG-hsa04020
ENSG00000089041	En	Neuroactive ligand-receptor interaction:KEGG-hsa04080
ENSG00000051523	En	Leishmaniasis:KEGG-hsa05140
ENSG00000051523	En	Leukocyte transendothelial migration:KEGG-hsa04670
ENSG00000051523	En	Osteoclast differentiation:KEGG-hsa04380
ENSG00000051523	En	Phagosome:KEGG-hsa04145
ENSG00000124216	En	Adherens junction:KEGG-hsa04520
ENSG00000124217	En	Sulfur relay system:KEGG-hsa04122
ENSG00000189283	En	Non-small cell lung cancer:KEGG-hsa05223
ENSG00000189283	En	Purine metabolism:KEGG-hsa00230
ENSG00000189283	En	Small cell lung cancer:KEGG-hsa05222
ENSG00000124212	En	Arachidonic acid metabolism:KEGG-hsa00590
ENSG00000120907	En	Calcium signaling pathway:KEGG-hsa04020
ENSG00000120907	En	Neuroactive ligand-receptor interaction:KEGG-hsa04080
ENSG00000120907	En	Salivary secretion:KEGG-hsa04970
ENSG00000120907	En	Vascular smooth muscle contraction:KEGG-hsa04270
ENSG00000161970	En	Ribosome:KEGG-hsa03010
ENSG00000135447	En	Long-term potentiation:KEGG-hsa04720
ENSG00000135446	En	Bladder cancer:KEGG-hsa05219
ENSG00000135446	En	Cell cycle:KEGG-hsa04110
ENSG00000135446	En	Chronic myeloid leukemia:KEGG-hsa05220
ENSG00000135446	En	Glioma:KEGG-hsa05214
ENSG00000135446	En	Measles:KEGG-hsa05162
ENSG00000135446	En	Melanoma:KEGG-hsa05218
ENSG00000135446	En	Non-small cell lung cancer:KEGG-hsa05223
ENSG00000135446	En	Pancreatic cancer:KEGG-hsa05212
ENSG00000135446	En	Pathways in cancer:KEGG-hsa05200
ENSG00000135446	En	Small cell lung cancer:KEGG-hsa05222
ENSG00000135446	En	T cell receptor signaling pathway:KEGG-hsa04660
ENSG00000135446	En	Tight junction:KEGG-hsa04530
ENSG00000135446	En	p53 signaling pathway:KEGG-hsa04115
ENSG00000079215	En	Glutamatergic synapse:KEGG-hsa04724
ENSG00000185133	En	Inositol phosphate metabolism:KEGG-hsa00562
ENSG00000185133	En	Phosphatidylinositol signaling system:KEGG-hsa04070
ENSG00000185130	En	Systemic lupus erythematosus:KEGG-hsa05322
ENSG00000068366	En	Adipocytokine signaling pathway:KEGG-hsa04920
ENSG00000068366	En	Fatty acid metabolism:KEGG-hsa00071
ENSG00000068366	En	PPAR signaling pathway:KEGG-hsa03320
ENSG00000068366	En	Peroxisome:KEGG-hsa04146
ENSG00000169020	En	Oxidative phosphorylation:KEGG-hsa00190
ENSG00000169021	En	Alzheimer's disease:KEGG-hsa05010
ENSG00000169021	En	Cardiac muscle contraction:KEGG-hsa04260
ENSG00000169021	En	Huntington's disease:KEGG-hsa05016
ENSG00000169021	En	Oxidative phosphorylation:KEGG-hsa00190
ENSG00000169021	En	Parkinson's disease:KEGG-hsa05012
ENSG00000160087	En	Parkinson's disease:KEGG-hsa05012
ENSG00000160087	En	Protein processing in endoplasmic reticulum:KEGG-hsa04141
ENSG00000160087	En	Ubiquitin mediated proteolysis:KEGG-hsa04120
ENSG00000275786	En	Antigen processing and presentation:KEGG-hsa04612
ENSG00000275786	En	Graft-versus-host disease:KEGG-hsa05332
ENSG00000275786	En	Natural killer cell mediated cytotoxicity:KEGG-hsa04650
ENSG00000102119	En	Arrhythmogenic right ventricular cardiomyopathy (ARVC):KEGG-hsa05412
ENSG00000102119	En	Dilated cardiomyopathy:KEGG-hsa05414
ENSG00000102119	En	Hypertrophic cardiomyopathy (HCM):KEGG-hsa05410
ENSG00000105464	En	Alzheimer's disease:KEGG-hsa05010
ENSG00000105464	En	Amyotrophic lateral sclerosis (ALS):KEGG-hsa05014
ENSG00000105464	En	Calcium signaling pathway:KEGG-hsa04020
ENSG00000105464	En	Glutamatergic synapse:KEGG-hsa04724
ENSG00000105464	En	Long-term potentiation:KEGG-hsa04720
ENSG00000105464	En	Neuroactive ligand-receptor interaction:KEGG-hsa04080
ENSG00000002586	En	Cell adhesion molecules (CAMs):KEGG-hsa04514
ENSG00000002586	En	Leukocyte transendothelial migration:KEGG-hsa04670
ENSG00000160883	En	Amino sugar and nucleotide sugar metabolism:KEGG-hsa00520
ENSG00000160883	En	Butirosin and neomycin biosynthesis:KEGG-hsa00524
ENSG00000160883	En	Carbohydrate digestion and absorption:KEGG-hsa04973
ENSG00000160883	En	Fructose and mannose metabolism:KEGG-hsa00051
ENSG00000160883	En	Galactose metabolism:KEGG-hsa00052
ENSG00000160883	En	Glycolysis / Gluconeogenesis:KEGG-hsa00010
ENSG00000160883	En	Insulin signaling pathway:KEGG-hsa04910
ENSG00000160883	En	Starch and sucrose metabolism:KEGG-hsa00500
ENSG00000160883	En	Type II diabetes mellitus:KEGG-hsa04930
ENSG00000160882	En	Steroid hormone biosynthesis:KEGG-hsa00140
ENSG00000022355	En	Neuroactive ligand-receptor interaction:KEGG-hsa04080
ENSG00000106384	En	Fat digestion and absorption:KEGG-hsa04975
ENSG00000106384	En	Glycerolipid metabolism:KEGG-hsa00561
ENSG00000177954	En	Ribosome:KEGG-hsa03010
ENSG00000177951	En	SNARE interactions in vesicular transport:KEGG-hsa04130
ENSG00000102805	En	Lysosome:KEGG-hsa04142
ENSG00000156096	En	Ascorbate and aldarate metabolism:KEGG-hsa00053
ENSG00000156096	En	Bile secretion:KEGG-hsa04976
ENSG00000156096	En	Drug metabolism - cytochrome P450:KEGG-hsa00982
ENSG00000156096	En	Drug metabolism - other enzymes:KEGG-hsa00983
