Source Identifier	SystemCode	ME	NA
ENSG00000070214	SLC44A1	black	En
ENSG00000080493	SLC4A4	black	En
ENSG00000183023	SLC8A1	black	En
ENSG00000118160	SLC8A2	black	En
ENSG00000090020	SLC9A1	black	En
ENSG00000103056	SMPD3	black	En
ENSG00000132639	SNAP25	black	En
ENSG00000065609	SNAP91	black	En
ENSG00000145335	SNCA	black	En
ENSG00000028528	SNX1	black	En
ENSG00000114520	SNX4	black	En
ENSG00000214338	SOGA3	black	En
ENSG00000095637	SORBS1	black	En
ENSG00000277363	SRCIN1	black	En
ENSG00000196220	SRGAP3	black	En
ENSG00000136738	STAM	black	En
ENSG00000117632	STMN1	black	En
ENSG00000148175	STOM	black	En
ENSG00000023734	STRAP	black	En
ENSG00000117758	STX12	black	En
ENSG00000106089	STX1A	black	En
ENSG00000099365	STX1B	black	En
ENSG00000079950	STX7	black	En
ENSG00000136854	STXBP1	black	En
ENSG00000164506	STXBP5	black	En
ENSG00000145087	STXBP5L	black	En
ENSG00000165416	SUGT1	black	En
ENSG00000130540	SULT4A1	black	En
ENSG00000008056	SYN1	black	En
ENSG00000157152	SYN2	black	En
ENSG00000185666	SYN3	black	En
ENSG00000159082	SYNJ1	black	En
ENSG00000067715	SYT1	black	En
ENSG00000213023	SYT3	black	En
ENSG00000011347	SYT7	black	En
ENSG00000162065	TBC1D24	black	En
ENSG00000105254	TBCB	black	En
ENSG00000141556	TBCD	black	En
ENSG00000284770	TBCE	black	En
NA	TCEB1	black	En
NA	TCEB2	black	En
ENSG00000143155	TIPRL	black	En
ENSG00000171914	TLN2	black	En
ENSG00000105576	TNPO2	black	En
ENSG00000078902	TOLLIP	black	En
ENSG00000100284	TOM1	black	En
ENSG00000175662	TOM1L2	black	En
ENSG00000146242	TPBG	black	En
ENSG00000133112	TPT1	black	En
ENSG00000109654	TRIM2	black	En
ENSG00000074319	TSG101	black	En
ENSG00000211460	TSN	black	En
ENSG00000156298	TSPAN7	black	En
ENSG00000165914	TTC7B	black	En
ENSG00000136295	TTYH3	black	En
ENSG00000123416	TUBA1B	black	En
ENSG00000127824	TUBA4A	black	En
ENSG00000196230	TUBB	black	En
ENSG00000137267	TUBB2A	black	En
ENSG00000258947	TUBB3	black	En
ENSG00000104833	TUBB4A	black	En
ENSG00000188229	TUBB4B	black	En
ENSG00000247596	TWF2	black	En
ENSG00000130985	UBA1	black	En
ENSG00000175931	UBE2O	black	En
ENSG00000135018	UBQLN1	black	En
ENSG00000167671	UBXN6	black	En
ENSG00000154277	UCHL1	black	En
ENSG00000138768	USO1	black	En
ENSG00000101557	USP14	black	En
ENSG00000135655	USP15	black	En
ENSG00000111667	USP5	black	En
ENSG00000187555	USP7	black	En
ENSG00000220205	VAMP2	black	En
ENSG00000101558	VAPA	black	En
ENSG00000124164	VAPB	black	En
ENSG00000155959	VBP1	black	En
ENSG00000038427	VCAN	black	En
ENSG00000131475	VPS25	black	En
ENSG00000151502	VPS26B	black	En
ENSG00000111237	VPS29	black	En
ENSG00000069329	VPS35	black	En
ENSG00000009844	VTA1	black	En
ENSG00000112290	WASF1	black	En
ENSG00000047056	WDR37	black	En
ENSG00000085433	WDR47	black	En
ENSG00000114742	WDR48	black	En
ENSG00000091157	WDR7	black	En
NA	YARS	black	En
ENSG00000176105	YES1	black	En
ENSG00000106636	YKT6	black	En
ENSG00000166913	YWHAB	black	En
ENSG00000108953	YWHAE	black	En
ENSG00000170027	YWHAG	black	En
ENSG00000128245	YWHAH	black	En
ENSG00000134308	YWHAQ	black	En
ENSG00000164924	YWHAZ	black	En
ENSG00000175899	Staging	black	En
